UID;gender;surname;name;fullname;birthdate;mandate_uid;mandate_type
PA736164;Mme;Nadine;Grelet-Certenais;GRELET_CERTENAIS_Nadine;17/01/59;PM736430;SENAT
PA736165;M.;Martin;Lévrier;LEVRIER_Martin;30/10/62;PM736376;SENAT
PA736160;Mme;Annie;Delmont-Koropoulis;DELMONT_KOROPOULIS_Annie;13/07/47;PM736359;SENAT
PA736163;Mme;Anne-Marie;Bertrand;BERTRAND_Anne_Marie;27/11/42;PM736250;GROUPESENAT
PA736162;Mme;Sabine;Van Heghe;VAN_HEGHE_Sabine;08/09/60;PM736320;SENAT
PA736161;Mme;Victoire;Jasmin;JASMIN_Victoire;23/12/55;PM736421;SENAT
PA736167;Mme;Marie-Pierre;de la Gontrie;GONTRIE_Marie_Pierre;18/12/58;PM736327;SENAT
PA736166;Mme;Sonia;de la Provôté;PROVOTE_Sonia;25/12/68;PM736435;SENAT
PA736169;Mme;Jacqueline;Eustache-Brinio;EUSTACHE_BRINIO_Jacqueline;05/09/56;PM736293;SENAT
PA736168;Mme;Véronique;Guillotin;GUILLOTIN_Veronique;03/11/62;PM736301;SENAT
PA736241;M.;Olivier;Jacquin;JACQUIN_Olivier;08/05/64;PM736300;SENAT
PA840;M.;Guy-Michel;Chauveau;Chauveau G;25/09/44;PM645617;ASSEMBLEE
PA712014;M.;Vincent;Ledoux;Ledoux;21/06/66;PM712765;GA
PA712422;Mme;Karine;Daniel;Daniel;22/06/74;PM712424;ASSEMBLEE
PA706108;M.;Olivier;Cigolotti;CIGOLOTTI OLIVIER;16/08/63;PM736256;SENAT
PA770;M.;Jean-Yves;Caullet;Caullet;08/02/57;PM645361;ASSEMBLEE
PA736188;M.;Arnaud;Bazin;BAZIN_Arnaud;10/01/59;PM736289;SENAT
PA701184;Mme;Isabelle;Lajoux;LAJOUX_ISABELLE;20/05/60;PM701200;GROUPESENAT
PA701185;M.;Jean-Pierre;Bosino;BOSINO;15/01/59;PM713823;CMP
PA703516;M.;Jean-Claude;Luche;LUCHE_Jean_Claude;07/08/52;PM703559;SENAT
PA703517;Mme;Brigitte;Micouleau;MICOULEAU_Brigitte;10/09/51;PM716427;CMP
PA703515;Mme;Corinne;Imbert;IMBERT_Corinne;20/11/58;PM713983;COMSPSENAT
PA703511;Mme;Sylvie;Robert;ROBERT_Sylvie;28/08/63;PM713616;CMP
PA703514;M.;Michel;Canevet;CANEVET_Michel;14/12/60;PM708430;CMP
PA703510;Mme;Agnès;Canayer;CANAYER_Agnes;21/09/65;PM713969;COMSPSENAT
PA703524;M.;François;Aubey;AUBEY_Francois;20/09/60;PM703572;SENAT
PA703527;M.;Jean Pierre;Vogel;VOGEL_Jean_Pierre;07/08/56;PM712828;CMP
PA703520;Mme;Dominique;Estrosi Sassone;ESTROSI_SASSONE_Dominique;14/11/58;PM713978;COMSPSENAT
PA703523;Mme;Anne-Catherine;Loisier;LOISIER_Anne_Catherine;13/03/69;PM714262;DELEGSENAT
PA703513;M.;Patrick;Chaize;CHAIZE_Patrick;22/03/63;PM712977;CMP
PA703529;Mme;Mireille;Jouve;JOUVE_Mireille;30/12/60;PM713625;CMP
PA703528;M.;Henri;Cabanel;CABANEL_Henri;09/03/59;PM716770;CMP
PA703522;M.;François;Bonhomme;BONHOMME_Francois;05/05/69;PM708367;CMP
PA703518;M.;Philippe;Mouiller;MOUILLER_Philippe;20/09/69;PM703704;SENAT
PA703519;M.;Michel;Amiel;AMIEL_Michel;03/07/54;PM713944;CMP
PA703498;Mme;Élisabeth;Doineau;DOINEAU_Elisabeth;07/04/61;PM736260;SENAT
PA703489;M.;Vincent;Dubois;DUBOIS_Vincent;05/08/81;PM703720;SENAT
PA703537;Mme;Vivette;Lopez;LOPEZ_Vivette;27/12/54;PM716692;CMP
PA703534;M.;Daniel;Chasseing;CHASSEING_Daniel;10/04/45;PM703549;SENAT
PA703535;M.;Jean-Baptiste;Lemoyne;LEMOYNE_Jean_Baptiste;15/09/77;PM713938;CMP
PA703532;Mme;Annick;Billon;BILLON_Annick;03/08/67;PM703568;SENAT
PA703530;M.;Daniel;Gremillet;GREMILLET_Daniel;31/07/53;PM712981;CMP
PA703531;M.;Joseph;Castelli;CASTELLI_Joseph;04/06/48;PM703701;SENAT
PA703533;M.;Bernard;Lalande;LALANDE_Bernard;06/04/54;PM703593;SENAT
PA703538;M.;Jérôme;Durain;DURAIN_Jerome;02/06/69;PM703698;SENAT
PA703501;M.;Claude;Kern;KERN_Claude;13/03/59;PM703629;SENAT
PA703508;Mme;Annie;Guillemot;GUILLEMOT_Annie;27/01/56;PM703601;SENAT
PA703505;M.;Claude;Raynal;RAYNAL_Claude;10/10/57;PM712818;CMP
PA703536;Mme;Gisèle;Jourda;JOURDA_Gisele;24/03/55;PM708371;CMP
PA703541;M.;Cyril;Pellevat;PELLEVAT_Cyril;18/02/81;PM716228;CMP
PA703540;M.;Pascal;Allizard;ALLIZARD_Pascal;19/12/62;PM713649;CMP
PA703512;Mme;Marie-Pierre;Monier;MONIER_Marie_Pierre;28/02/58;PM713645;CMP
PA703504;M.;Michel;Forissier;FORISSIER_Michel;12/09/43;PM713935;CMP
PA703502;Mme;Geneviève;Jean;JEAN_Genevieve;28/08/45;PM703639;SENAT
PA703503;M.;Louis-Jean;de Nicolaÿ;NICOLAY_DE_Louis_Jean;18/09/49;PM703582;SENAT
PA703500;M.;Gilbert;Bouchet;BOUCHET_Gilbert;08/01/47;PM703574;SENAT
PA703509;M.;Éric;Jeansannetas;JEANSANNETAS_Éric;21/10/62;PM716235;CMP
PA703492;M.;Loïc;Hervé;HERVE_Loic;08/06/80;PM713982;COMSPSENAT
PA703483;M.;René;Danesi;DANESI_Rene;30/08/47;PM713974;COMSPSENAT
PA703496;M.;David;Rachline;RACHLINE_David;02/12/87;PM703675;SENAT
PA703525;M.;Olivier;Cadic;CADIC_Olivier;22/04/62;PM713945;CMP
PA703526;M.;Antoine;Karam;KARAM_Antoine;21/02/50;PM708638;GROUPESENAT
PA703506;Mme;Nicole;Duranton;DURANTON_Nicole;13/10/58;PM713654;CMP
PA703539;Mme;Jacky;Deromedi;DEROMEDI_Jacky;15/06/44;PM716834;CMP
PA703521;M.;Jean-Jacques;Panunzi;PANUNZI_Jean_Jacques;05/04/56;PM703544;SENAT
PA703490;M.;Jacques;Bigot;BIGOT_Jacques;31/07/52;PM713755;CMP
PA703507;M.;Jacques;Genest;GENEST_Jacques;06/08/50;PM708432;CMP
PA703480;M.;Pierre;Médevielle;MEDEVIELLE_Pierre;17/04/60;PM716234;CMP
PA703481;Mme;Nelly;Tocqueville;TOCQUEVILLE_Nelly;02/05/50;PM703670;SENAT
PA703482;M.;Michel;Vaspart;VASPART_Michel;22/02/48;PM713999;COMSPSENAT
PA703484;Mme;Teura;Iriti;IRITI_Teura;07/01/65;PM703721;SENAT
PA703487;M.;Jean-Marc;Gabouty;GABOUTY_Jean_Marc;17/05/49;PM713939;CMP
PA703486;M.;Guillaume;Arnell;ARNELL_Guillaume;20/01/58;PM716696;CMP
PA703488;M.;Guy-Dominique;Kennel;KENNEL_Guy_Dominique;14/04/52;PM713652;CMP
PA703491;M.;Jean-Louis;Tourenne;TOURENNE_Jean_Louis;25/08/44;PM716428;CMP
PA703493;M.;Claude;Nougein;NOUGEIN_Claude;04/12/46;PM732427;COMSENAT
PA703497;M.;Didier;Mandelli;MANDELLI_Didier;07/08/64;PM715610;CMP
PA703495;M.;Jean-Yves;Roux;ROUX_Jean_Yves;18/01/70;PM716230;CMP
PA703499;Mme;Christine;Prunaud;PRUNAUD_Christine;04/09/50;PM713993;COMSPSENAT
PA703494;Mme;Catherine;Di Folco;DI_FOLCO_Catherine;30/11/60;PM712678;CMP
PA917;M.;Jean-François;Copé;Cope;05/05/64;PM645163;ASSEMBLEE
PA736189;M.;Frédéric;Marchand;MARCHAND_Frederic;31/05/65;PM736363;SENAT
PA706520;Mme;Évelyne;Yonnet;Yonnet_evelyne;09/10/54;PM714002;COMSPSENAT
PA720634;M.;Édouard;Courtial;COURTIAL ÉDOUARD;28/06/73;PM736312;SENAT
PA716269;Mme;Évelyne;Rivollier;RIVOLLIER_Evelyne;13/05/58;PM716271;SENAT
PA705750;Mme;Patricia;Morhet-Richaud;MORHET_RICHAUD_Patricia;28/07/61;PM713946;CMP
PA732419;M.;Gilbert-Luc;Devinaz;DEVINAZ_Gilbert_Luc;19/07/53;PM732432;COMSENAT
PA732420;Mme;Josiane;Costes;Costes_Josiane;23/08/47;PM732429;COMSENAT
PA712016;M.;Pascal;Thévenot;Thevenot;03/06/66;PM712374;GE
PA712015;M.;Julien;Dive;Dive;21/05/85;PM712739;GE
PA713448;Mme;Marine;Brenier;Brenier;11/08/86;PM713451;ASSEMBLEE
PA711156;M.;Jean-François;Rapin;RAPIN JEAN FRANCOIS;11/05/66;PM736319;SENAT
PA733;M.;Thierry;Carcenac;CARCENAC_Thierry;19/12/50;PM703709;SENAT
PA707706;Mme;Lana;Tetuanui;TETUANUI_LANA;23/02/70;PM707717;SENAT
PA736183;M.;Jean-Pierre;Moga;MOGA_Jean_Pierre;19/05/47;PM736405;SENAT
PA736182;M.;Laurent;Lafon;LAFON_Laurent;18/11/65;PM736346;SENAT
PA736186;M.;Ronan;Le Gleut;LE_GLEUT_Ronan;21/08/76;PM736396;SENAT
PA736180;M.;Jean-Pierre;Bansard;BANSARD_Jean_Pierre;15/05/40;PM736395;SENAT
PA736181;M.;Patrice;Joly;JOLY_Patrice;05/05/57;PM736416;SENAT
PA736228;M.;Éric;Gold;GOLD_Eric;07/06/64;PM736380;SENAT
PA736224;M.;Franck;Menonville;MENONVILLE_Franck;03/10/72;PM736403;SENAT
PA736225;M.;Bernard;Jomier;JOMIER_Bernard;09/10/63;PM736334;SENAT
PA736223;M.;Olivier;Henno;HENNO_Olivier;21/04/62;PM736368;SENAT
PA736206;Mme;Jocelyne;Guidez;GUIDEZ_Jocelyne;26/09/56;PM736351;SENAT
PA736204;M.;Jean-Marie;Mizzon;MIZZON_Jean_Marie;31/03/56;PM736338;SENAT
PA736248;M.;Jean-Michel;Houllegatte;HOULLEGATTE_Jean_Michel;30/05/58;PM736269;SENAT
PA736247;M.;Serge;Babary;BABARY_Serge;16/07/46;PM736281;SENAT
PA736242;M.;Olivier;Léonhardt;LEONHARDT_Olivier;29/01/64;PM736349;SENAT
PA736176;Mme;Pascale;Bories;BORIES_Pascale;01/04/69;PM736434;SENAT
PA736174;M.;Emmanuel;Capus;CAPUS_Emmanuel;23/06/74;PM736283;SENAT
PA736173;Mme;Michelle;Gréaume;GREAUME_Michelle;30/10/67;PM736369;SENAT
PA736179;M.;Dominique;Théophile;THEOPHILE_Dominique;04/08/60;PM736420;SENAT
PA304014;Mme;Bariza;Khiari;KHIARI BARIZA;03/09/46;PM304354;GROUPESENAT
PA205280;M.;Roger;Karoutchi;KAROUTCHI;26/08/51;PM430065;SENAT
PA429834;Mme;Marie-Annick;Duchêne;DUCHENE_MARIE_ANNICK_11091R;23/08/40;PM430038;SENAT
PA304017;Mme;Catherine;Morin-Desailly;MORIN-DESAILLY CATHERINE;06/07/60;PM318604;GROUPESENAT
PA304010;M.;Philippe;Dominati;DOMINATI PHILIPPE;12/04/54;PM392738;GROUPESENAT
PA429833;Mme;Frédérique;Espagnac;ESPAGNAC_FREDERIQUE_C4700;19/04/72;PM429975;SENAT
PA304018;M.;Michel;Billout;BILLOUT MICHEL;19/02/58;PM304283;GROUPESENAT
PA429838;M.;René;Vandierendonck;VANDIERENDONCK_RENE_11037K;01/04/51;PM429939;SENAT
PA429839;M.;Michel;Le Scouarnec;LESCOUARNEC_MICHEL_C4640;12/07/49;PM429953;SENAT
PA405480;M.;François;Pupponi;Pupponi;31/07/62;PM645203;ASSEMBLEE
PA267407;M.;Paul;Giacobbi;Giacobbi;04/06/57;PM645320;ASSEMBLEE
PA346;M.;Patrick;Balkany;Balkany;16/08/48;PM645086;ASSEMBLEE
PA304015;M.;Yves;Pozzo di Borgo;POZZO DI BORGO YVES;03/05/48;PM318605;GROUPESENAT
PA2447;M.;Ladislas;Poniatowski;PONIATOWSKI LADISLAS;10/11/46;PM431261;GROUPESENAT
PA2265;M.;Philippe;Nauche;Nauche;15/07/57;PM645445;ASSEMBLEE
PA227019;Mme;Marie-Christine;Blandin;BLANDIN;22/09/52;PM429938;SENAT
PA609245;Mme;Valérie;Lacroute;Lacroute;29/10/65;PM645150;ASSEMBLEE
PA610615;M.;Ary;Chalus;Chalus;06/12/61;PM645243;ASSEMBLEE
PA334768;M.;Jean-Louis;Touraine;Touraine J;08/10/45;PM645582;ASSEMBLEE
PA1134;M.;Claude;Dilain;DILAIN_CLAUDE_11051H;12/08/48;PM430054;SENAT
PA341406;M.;Martial;Bourquin;BOURQUINMARTIAL;23/07/52;PM516773;COMSENAT
PA2317;M.;Michel;Pajon;Pajon;30/06/49;PM645111;ASSEMBLEE
PA295;M.;François;Asensi;Asensi;01/06/45;PM645103;ASSEMBLEE
PA292;M.;Jean;Arthuis;ARTHUIS;07/10/44;PM318661;GROUPESENAT
PA270;Mme;Michèle;André;ANDRE M;06/02/47;PM227309;GROUPESENAT
PA271;Mme;Sylvie;Andrieux;Andrieux;15/12/61;PM645515;ASSEMBLEE
PA606171;M.;Richard;Ferrand;Ferrand;01/07/62;PM645255;ASSEMBLEE
PA2444;M.;Christian;Poncelet;PONCELET;24/03/28;PM286556;GROUPESENAT
PA608826;Mme;Virginie;Duby-Muller;DubyMuller;16/08/79;PM712867;GE
PA2685;Mme;Odile;Saugues;Saugues;26/01/43;PM645182;ASSEMBLEE
PA1993;M.;Gérard;Longuet;LONGUET;24/02/46;PM651975;SENAT
PA2045;M.;Noël;Mamère;Mamere;25/12/48;PM645421;ASSEMBLEE
PA678263;M.;Pierre;Laurent;LAURENT PIERRE;01/07/57;PM678264;GROUPESENAT
PA2048;M.;Jean-François;Mancel;Mancel;01/03/48;PM645036;ASSEMBLEE
PA334906;M.;Philippe;Meunier;Meunier;16/03/66;PM645577;ASSEMBLEE
PA605518;M.;François-Michel;Lambert;LambertF;24/08/66;PM645500;ASSEMBLEE
PA340432;M.;Alain;Fauré;Faure;01/10/62;PM645471;ASSEMBLEE
PA2684;M.;Bernard;Saugey;SAUGEY;03/03/43;PM286569;GROUPESENAT
PA346170;M.;Jacques;Moignard;Moignard;08/08/51;PM676815;ASSEMBLEE
PA605991;Mme;Annie;Genevard;Genevard;07/09/56;PM711227;MISINFO
PA1991;M.;François;Loncle;Loncle;21/10/41;PM645156;ASSEMBLEE
PA551;M.;Alain;Bocquet;Bocquet;06/05/46;PM645487;ASSEMBLEE
PA429832;M.;Hervé;Marseille;MARSEILLE_HERVE_11085T;20/08/54;PM430064;SENAT
PA609740;M.;Alain;Leboeuf;Leboeuf;02/02/64;PM645319;ASSEMBLEE
PA429835;Mme;Hélène;Conway-Mouret;CONWAY_MOURET_HELENE;13/09/60;PM429989;SENAT
PA1998;M.;Jeanny;Lorgeoux;LORGEOUX_JEANNY_11106F;02/01/50;PM429965;SENAT
PA429836;Mme;Laurence;Cohen;COHEN_LAURENCE_11031D;15/01/53;PM430049;SENAT
PA429837;M.;André;Gattolin;GATTOLIN_ANDRE_11083R;24/06/60;PM430063;SENAT
PA608380;Mme;Sophie;Rohfritsch;Rohfritsch;27/08/62;PM645578;ASSEMBLEE
PA267891;M.;Hugues;Portelli;PORTELLI HUGUES;22/12/47;PM304323;GROUPESENAT
PA550;M.;Jean-Marie;Bockel;BOCKEL JEAN-MARIE;22/06/50;PM426334;SENAT
PA347627;Mme;Catherine;Pen;Pen;09/05/54;PM701226;GP
PA1193;M.;William;Dumas;Dumas;23/01/42;PM645344;ASSEMBLEE
PA1199;M.;Jean-Louis;Dumont;Dumont J;06/04/44;PM645376;ASSEMBLEE
PA1198;Mme;Laurence;Dumont;DumontL;02/06/58;PM645393;ASSEMBLEE
PA610195;Mme;Julie;Sommaruga;Sommaruga;01/08/75;PM711234;MISINFO
PA1192;M.;André;Dulait;DULAIT;14/11/37;PM314313;ORGAINT
PA268039;M.;Éric;Jalton;Jalton;16/09/61;PM645239;ASSEMBLEE
PA1172;M.;Roland;du Luart;LUART ROLAND (DU);12/03/40;PM286532;GROUPESENAT
PA610667;M.;Gabriel;Serville;Serville;27/09/59;PM645269;ASSEMBLEE
PA607595;M.;Hervé;Pellois;Pellois;17/04/51;PM645377;ASSEMBLEE
PA606888;M.;Jean-Pierre;Barbier;Barbier;11/11/60;PM645543;ASSEMBLEE
PA1224;Mme;Odette;Duriez;DURIEZ_ODETTE_11062L;07/05/48;PM430011;SENAT
PA642788;M.;Olivier;Véran;Veran;22/04/80;PM676805;ASSEMBLEE
PA1579;Mme;Élisabeth;Guigou;Guigou;06/08/46;PM645117;ASSEMBLEE
PA689;Mme;Marie-George;Buffet;Buffet;07/05/49;PM711222;MISINFO
PA1573;M.;Jean-Noël;Guérini;GUERINI;01/01/51;PM308855;COMSENAT
PA680;M.;François;Brottes;Brottes;31/03/56;PM645536;ASSEMBLEE
PA1574;M.;Jean-Claude;Guibal;Guibal;13/01/41;PM645430;ASSEMBLEE
PA267278;M.;Philippe;Martin;Martin Ph(Gers);22/11/53;PM645391;ASSEMBLEE
PA1226;M.;Philippe;Duron;Duron;19/06/47;PM645386;ASSEMBLEE
PA330130;M.;Bernard;Lesterlin;Lesterlin;18/09/49;PM645541;ASSEMBLEE
PA267479;M.;Kléber;Mesquida;Mesquida;03/08/45;PM645504;ASSEMBLEE
PA408;M.;Jean-Michel;Baylet;BAYLET;17/11/46;PM303949;SENAT
PA1379;M.;Yves;Fromion;Fromion;15/09/41;PM645433;ASSEMBLEE
PA304002;M.;David;Assouline;ASSOULINE DAVID;16/06/59;PM304346;GROUPESENAT
PA1375;M.;Pierre;Frogier;FROGIER PIERRE;16/11/50;PM429899;SENAT
PA609983;Mme;Maud;Olivier;Olivier;20/02/53;PM645048;ASSEMBLEE
PA344114;M.;Jean-Jacques;Cottel;Cottel;17/07/53;PM645092;ASSEMBLEE
PA1373;M.;Édouard;Fritch;Fritch;04/01/52;PM645310;ASSEMBLEE
PA243;M.;Yves;Albarello;Albarello;17/03/52;PM645167;ASSEMBLEE
PA394;M.;Christian;Bataille;Bataille C;13/05/46;PM645447;ASSEMBLEE
PA610427;Mme;Laurence;Abeille;Abeille;17/06/60;PM645158;ASSEMBLEE
PA267506;M.;Philippe;Vitel;Vitel;22/02/55;PM645270;ASSEMBLEE
PA304005;M.;Jean-Pierre;Caffet;CAFFET JEAN-PIERRE;08/11/51;PM421704;DELEGSENAT
PA304007;M.;Jean;Desessard;DESESSARD JEAN;06/09/52;PM430041;SENAT
PA304000;Mme;Élisabeth;Lamure;LAMURE ELISABETH;20/11/47;PM304127;SENAT
PA304001;M.;Thierry;Repentin;REPENTIN THIERRY;05/04/63;PM304129;SENAT
PA343493;M.;Gwendal;Rouillard;Rouillard;20/04/76;PM645385;ASSEMBLEE
PA605745;M.;Nicolas;Sansu;Sansu;17/06/68;PM645435;ASSEMBLEE
PA334755;M.;Pierre-Alain;Muet;Muet;01/01/45;PM645580;ASSEMBLEE
PA247;M.;Nicolas;Alfonsi;ALFONSI;13/04/36;PM318657;GROUPESENAT
PA605694;M.;Olivier;Falorni;Falorni;27/03/72;PM645416;ASSEMBLEE
PA332523;Mme;Marie-Christine;Dalloz;Dalloz;10/01/58;PM645550;ASSEMBLEE
PA2277;M.;Yves;Nicolin;Nicolin;05/03/63;PM715995;COMPER
PA2272;M.;Alain;Néri;NERI_ALAIN_C4673;01/05/42;PM429987;SENAT
PA2051;M.;Thierry;Mandon;Mandon;30/12/57;PM645056;ASSEMBLEE
PA2056;M.;François;Marc;MARC_FRANCOIS;19/03/50;PM430382;COMSENAT
PA605349;Mme;Marie-Hélène;Fabre;Fabre;27/07/51;PM645483;ASSEMBLEE
PA610775;M.;Philippe;Gomès;Gomes;27/10/58;PM645309;ASSEMBLEE
PA335758;M.;Franck;Riester;Riester;03/01/74;PM645160;ASSEMBLEE
PA609691;Mme;Michèle;Fournier-Armand;FournierArmand;28/07/46;PM645296;ASSEMBLEE
PA2690;M.;François;Sauvadet;Sauvadet;20/04/53;PM645458;ASSEMBLEE
PA2693;M.;Gilbert;Sauvan;Sauvan;15/07/56;PM645419;ASSEMBLEE
PA332747;M.;François;de Rugy;Rugy (de);06/12/73;PM645155;ASSEMBLEE
PA335999;Mme;Delphine;Batho;Batho;23/03/73;PM591228;MINISTERE
PA404073;M.;Louis;Pinton;PINTON LOUIS;24/10/48;PM405194;COMSENAT
PA610770;Mme;Sonia;Lagarde;Lagarde;29/08/48;PM645305;ASSEMBLEE
PA1617;M.;Claude;Haut;HAUT;22/12/44;PM303960;SENAT
PA608186;Mme;Danielle;Auroi;Auroi;29/02/44;PM645202;ASSEMBLEE
PA223837;M.;Bernard;Brochand;Brochand;05/06/38;PM645440;ASSEMBLEE
PA1362;M.;Christian;Franqueville;Franqueville;14/05/49;PM645356;ASSEMBLEE
PA2870;M.;André;Vallini;VALLINI_ANDRE_11041F;15/07/56;PM430028;SENAT
PA1963;M.;Michel;Lesage;Lesage;02/06/52;PM645466;ASSEMBLEE
PA1960;M.;Maurice;Leroy;Leroy;02/02/59;PM645107;ASSEMBLEE
PA267886;M.;Axel;Poniatowski;Poniatowski;03/08/51;PM645188;ASSEMBLEE
PA268042;Mme;Gabrielle;Louis-Carabin;LouisCarabin;20/02/46;PM645241;ASSEMBLEE
PA2876;M.;François;Vannson;Vannson;20/10/62;PM645355;ASSEMBLEE
PA334116;Mme;Jacqueline;Maquet;MaquetJ;13/05/49;PM645114;ASSEMBLEE
PA290103;M.;Yves;Krattinger;KRATTINGER;05/11/48;PM290433;GROUPESENAT
PA607699;Mme;Paola;Zanetti;Zanetti;01/09/76;PM645403;ASSEMBLEE
